WebID,Area,Data label,2021,2021%,2016,2016%,2011,2011%,2006,2006%,2001,2001%,1991,1991%,Data Type
290,Greater Adelaide,Total Population,1387295,100,1295721,100,1225242,100,1157147,100,1115386,100,0,,UR
300,Greater Perth,Christian total,884225,41.7746,966198,49.7051,1009353,58.3815,906049,59.9205,885021,63.812,0,,UR
300,Greater Perth,Non Christian total,198130,9.3605,156977,8.0755,118557,6.8574,75583,4.9986,62511,4.5072,0,,UR
300,Greater Perth,Non-classifiable religious belief,12735,0.6017,12643,0.6504,15189,0.8785,11352,0.7508,33045,2.3826,0,,UR
300,Greater Perth,No Religion/secular beliefs,889964,42.0458,631003,32.4613,433750,25.0883,336234,22.2364,267234,19.2682,0,,UR
300,Greater Perth,Not stated,131602,6.2174,177039,9.1076,152042,8.7942,182868,12.0938,139108,10.03,0,,UR
300,Greater Perth,Total Population,2116656,100,1943860,100,1728891,100,1512086,100,1386919,100,0,,UR
310,Greater Hobart,Christian total,91629,37.0875,105121,47.2756,124218,58.6845,128684,63.8041,133980,69.7304,0,,UR
310,Greater Hobart,Non Christian total,15452,6.2543,6506,2.9259,5091,2.4051,3592,1.781,2836,1.476,0,,UR
310,Greater Hobart,Non-classifiable religious belief,1344,0.544,1508,0.6782,1982,0.9364,1565,0.776,3501,1.8221,0,,UR
310,Greater Hobart,No Religion/secular beliefs,124094,50.2279,89607,40.2985,62153,29.363,43605,21.6202,33470,17.4196,0,,UR
310,Greater Hobart,Not stated,14543,5.8864,19616,8.8218,18227,8.611,24240,12.0187,18353,9.5519,0,,UR
310,Greater Hobart,Total Population,247062,100,222358,100,211671,100,201686,100,192140,100,0,,UR
320,Greater Darwin,Christian total,51678,36.9345,61345,44.8343,62679,51.9696,56711,53.4984,57248,57.6638,0,,UR
320,Greater Darwin,Non Christian total,13910,9.9415,9871,7.2143,6480,5.3728,4228,3.9885,3878,3.9062,0,,UR
320,Greater Darwin,Non-classifiable religious belief,939,0.6711,1115,0.8149,1253,1.0389,886,0.8358,2623,2.642,0,,UR
320,Greater Darwin,No Religion/secular beliefs,58716,41.9646,45245,33.0675,32063,26.5847,26654,25.1441,22063,22.2232,0,,UR
320,Greater Darwin,Not stated,14675,10.4883,19250,14.069,18132,15.034,17526,16.5332,13467,13.5648,0,,UR
320,Greater Darwin,Total Population,139918,100,136826,100,120607,100,106005,100,99279,100,0,,UR
330,Greater Capital Cities,Christian total,7068284,42.6673,7545814,49.713,8092549,58.8806,7782256,61.7922,7794299,65.9857,0,,UR
330,Greater Capital Cities,Non Christian total,2227724,13.4475,1691432,11.1434,1360477,9.8987,979782,7.7796,803002,6.7981,0,,UR
330,Greater Capital Cities,Non-classifiable religious belief,90192,0.5444,92919,0.6122,109033,0.7933,85375,0.6779,231610,1.9608,0,,UR
330,Greater Capital Cities,No Religion/secular beliefs,6175051,37.2753,4538611,29.9011,3057875,22.2488,2349449,18.6549,1859710,15.7441,0,,UR
330,Greater Capital Cities,Not stated,1004794,6.0654,1309988,8.6304,1124072,8.1786,1397382,11.0954,1123477,9.5112,0,,UR
330,Greater Capital Cities,Total Population,16566045,100,15178764,100,13744006,100,12594244,100,11812098,100,0,,UR
340,South East Queensland,Christian total,1583825,44.1699,1720906,53.6759,1821127,62.842,1752466,65.3775,1672882,70.0076,0,,UR
340,South East Queensland,Non Christian total,217747,6.0726,166702,5.1995,133975,4.6231,88521,3.3024,67391,2.8202,0,,UR
340,South East Queensland,Non-classifiable religious belief,23221,0.6476,23297,0.7266,25022,0.8634,18810,0.7017,47854,2.0026,0,,UR
340,South East Queensland,No Religion/secular beliefs,1525724,42.5496,1009036,31.4724,669610,23.1064,512363,19.1142,365557,15.298,0,,UR
340,South East Queensland,Not stated,235239,6.5604,286162,8.9255,248211,8.5651,308373,11.5042,235889,9.8716,0,,UR
340,South East Queensland,Total Population,3585756,100,3206103,100,2897945,100,2680533,100,2389573,100,0,,UR
